元素序号,元素符号,周期,族,是否镧系,是否锕系,电负性,范德华半径(Å),原子半径-计算值(Å),原子半径-传统方法测量值(Å),电子结构,电子层,价壳层电子轨道角动量L,价电子数,原子轨道能量(eV),第一电离能(eV),第二电离能(eV),平均阳离子半径(Å),平均阴离子半径(Å),电子亲和力,是否为过渡态金属,共价半径-单键(pm),共价半径-双键(pm),共价半径-三键(pm)
1,H,1,1,0,0,2.2,1.1,0.53,0.25,"[(1, 's', 1)]",s,0,1,{'1s': -0.233471},13.598434599702,-,nan,nan,0.754598,False,32,nan,nan
2,He,1,18,0,0,nan,1.4,0.31,nan,"[(1, 's', 2)]",p,nan,0,{'1s': -0.570425},24.587389011,54.417765486,nan,nan,-0.52,False,46,nan,nan
3,Li,2,1,0,0,0.98,1.82,1.67,1.45,"[(1, 's', 2), (2, 's', 1)]",s,0,1,"{'1s': -1.878564, '2s': -0.10554}",5.391714996,75.640097,0.9,nan,0.61804922,False,133,124,nan
4,Be,2,2,0,0,1.57,1.53,1.12,1.05,"[(1, 's', 2), (2, 's', 2)]",s,0,2,"{'1s': -3.856411, '2s': -0.205744}",9.322699,18.21115,0.59,nan,-0.52,False,102,90,85
5,B,2,13,0,0,2.04,1.92,0.87,0.85,"[(1, 's', 2), (2, 's', 2), (2, 'p', 1)]",p,1,1,"{'1s': -6.564347, '2p': -0.136603, '2s': -0.344701}",8.298019,25.15483,0.41,nan,0.27972325,False,85,78,73
6,C,2,14,0,0,2.55,1.7,0.67,0.7,"[(1, 's', 2), (2, 's', 2), (2, 'p', 2)]",p,1,2,"{'1s': -9.947718, '2p': -0.199186, '2s': -0.500866}",11.260288,24.383154,0.3,nan,1.262113612,False,75,67,60
7,N,2,15,0,0,3.04,1.55,0.56,0.65,"[(1, 's', 2), (2, 's', 2), (2, 'p', 3)]",p,1,3,"{'1s': -14.011501, '2p': -0.266297, '2s': -0.676151}",14.53413,29.60125,0.28500000000000003,1.32,-0.07,False,71,60,54
8,O,2,16,0,0,3.44,1.52,0.48,0.6,"[(1, 's', 2), (2, 's', 2), (2, 'p', 4)]",p,1,4,"{'1s': -18.758245, '2p': -0.338381, '2s': -0.871362}",13.618055,35.12112,nan,1.26,1.4611053,False,63,57,53
9,F,2,17,0,0,3.98,1.47,0.42,0.5,"[(1, 's', 2), (2, 's', 2), (2, 'p', 5)]",p,1,5,"{'1s': -24.189391, '2p': -0.415606, '2s': -1.086859}",17.42282,34.97081,0.22,1.19,3.401189824,False,64,59,53
10,Ne,2,18,0,0,nan,1.54,0.38,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6)]",p,nan,0,"{'1s': -30.305855, '2p': -0.498034, '2s': -1.322809}",21.564541,40.96297,nan,nan,-1.22,False,67,96,nan
11,Na,3,1,0,0,0.93,2.27,1.9,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 1)]",s,0,1,"{'1s': -37.719975, '2p': -1.060636, '2s': -2.063401, '3s': -0.103415}",5.13907696,47.28636,1.16,nan,0.54792625,False,155,160,nan
12,Mg,3,2,0,0,1.31,1.73,1.45,1.5,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2)]",s,0,2,"{'1s': -45.973167, '2p': -1.71897, '2s': -2.903746, '3s': -0.175427}",7.646236,15.035271,0.86,nan,-0.42,False,139,132,127
13,Al,3,13,0,0,1.61,1.84,1.18,1.25,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 1)]",p,1,1,"{'1s': -55.156044, '2p': -2.564018, '2s': -3.934827, '3p': -0.102545, '3s': -0.286883}",5.985769,18.82855,0.675,nan,0.432835,False,126,113,111
14,Si,3,14,0,0,1.9,2.1,1.11,1.1,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 2)]",p,1,2,"{'1s': -65.184426, '2p': -3.514938, '2s': -5.075056, '3p': -0.153293, '3s': -0.398139}",8.15168,16.34585,0.54,nan,1.38952128,False,116,107,102
15,P,3,15,0,0,2.19,1.8,0.98,1.0,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 3)]",p,1,3,"{'1s': -76.061897, '2p': -4.576617, '2s': -6.329346, '3p': -0.20608, '3s': -0.512364}",10.486686,19.76949,0.55,nan,0.7466071,False,111,102,94
16,S,3,16,0,0,2.58,1.8,0.88,1.0,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 4)]",p,1,4,"{'1s': -87.789937, '2p': -5.751257, '2s': -7.69994, '3p': -0.261676, '3s': -0.630912}",10.36001,23.33788,0.47,1.7,2.077104512,False,103,94,95
17,Cl,3,17,0,0,3.16,1.75,0.79,1.0,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 5)]",p,1,5,"{'1s': -100.369229, '2p': -7.039982, '2s': -9.187993, '3p': -0.32038, '3s': -0.754458}",12.967633,23.81364,0.33499999999999996,1.67,3.61272528,False,99,95,93
18,Ar,3,18,0,0,nan,1.88,0.71,0.71,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6)]",p,nan,0,"{'1s': -113.800134, '2p': -8.443439, '2s': -10.794172, '3p': -0.38233, '3s': -0.883384}",15.7596119,27.62967,nan,nan,-1.02,False,96,107,96
19,K,4,1,0,0,0.82,2.75,2.43,2.2,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (4, 's', 1)]",s,0,1,"{'1s': -128.414957, '2p': -10.283851, '2s': -12.839001, '3p': -0.693776, '3s': -1.281897, '4s': -0.088815}",4.34066373,31.625,1.52,nan,0.50145913,False,196,193,nan
20,Ca,4,2,0,0,1.0,2.31,1.94,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (4, 's', 2)]",s,0,2,"{'1s': -143.935181, '2p': -12.285376, '2s': -15.046905, '3p': -1.030572, '3s': -1.706331, '4s': -0.141411}",6.11315547,11.871719,1.14,nan,0.024551,False,171,147,133
21,Sc,4,3,0,0,1.36,2.15,1.84,1.6,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 1), (4, 's', 2)]",d,2,1,"{'1s': -160.184109, '2p': -14.240006, '2s': -17.206464, '3d': -0.13108, '3p': -1.233165, '3s': -1.988378, '4s': -0.156478}",6.56149,12.79977,0.885,nan,0.1882,True,148,116,114
22,Ti,4,4,0,0,1.54,2.11,1.76,1.4,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 2), (4, 's', 2)]",d,2,2,"{'1s': -177.276643, '2p': -16.285339, '2s': -19.457901, '3d': -0.17001, '3p': -1.422947, '3s': -2.258007, '4s': -0.167106}",6.82812,13.5755,0.8516666666666667,nan,0.075545,True,136,117,108
23,V,4,5,0,0,1.63,2.07,1.71,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 3), (4, 's', 2)]",d,2,3,"{'1s': -195.224014, '2p': -18.435189, '2s': -21.815346, '3d': -0.204634, '3p': -1.610516, '3s': -2.526904, '4s': -0.175968}",6.746187,14.634,0.7775,nan,0.527662,True,134,112,106
24,Cr,4,6,0,0,1.66,2.06,1.66,1.4,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 5), (4, 's', 1)]",d,nan,nan,"{'1s': -213.881191, '2p': -20.526273, '2s': -24.113457, '3d': -0.118123, '3p': -1.65423, '3s': -2.649085, '4s': -0.150445}",6.76651,16.486305,0.94,nan,0.6758412,True,122,111,103
25,Mn,4,7,0,0,1.55,2.05,1.61,1.4,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 5), (4, 's', 2)]",d,2,5,"{'1s': -233.696912, '2p': -23.066297, '2s': -26.866646, '3d': -0.26654, '3p': -1.99145, '3s': -3.076637, '4s': -0.191136}",7.434038,15.63999,0.6483333333333333,nan,-0.52,True,119,105,103
26,Fe,4,8,0,0,1.83,2.04,1.56,1.4,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 6), (4, 's', 2)]",d,2,6,"{'1s': -254.225505, '2p': -25.551766, '2s': -29.56486, '3d': -0.295049, '3p': -2.187523, '3s': -3.360621, '4s': -0.197978}",7.9024681,16.19921,0.8525,nan,0.15323634,True,116,109,102
27,Co,4,9,0,0,1.88,2.0,1.52,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 7), (4, 's', 2)]",d,2,7,"{'1s': -275.616639, '2p': -28.152095, '2s': -32.379758, '3d': -0.322368, '3p': -2.388285, '3s': -3.651812, '4s': -0.204497}",7.88101,17.0844,0.7683333333333334,nan,0.662265,True,111,103,96
28,Ni,4,10,0,0,1.91,1.97,1.49,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 8), (4, 's', 2)]",d,2,8,"{'1s': -297.870824, '2p': -30.868027, '2s': -35.312112, '3d': -0.348699, '3p': -2.594158, '3s': -3.950717, '4s': -0.210764}",7.639878,18.168838,0.74,nan,1.1571612,True,110,101,101
29,Cu,4,11,0,0,1.9,1.96,1.45,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 1)]",d,0,1,"{'1s': -320.78852, '2p': -33.481247, '2s': -38.14131, '3d': -0.202272, '3p': -2.609244, '3s': -4.057453, '4s': -0.172056}",7.72638,20.29239,0.82,nan,1.235784,True,112,115,120
30,Zn,4,12,0,0,1.65,2.01,1.42,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2)]",d,0,2,"{'1s': -344.969756, '2p': -36.648765, '2s': -41.531323, '3d': -0.398944, '3p': -3.022363, '3s': -4.573041, '4s': -0.222725}",9.394197,17.96439,0.88,nan,-0.62,True,118,120,nan
31,Ga,4,13,0,0,1.81,1.87,1.36,1.3,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 1)]",p,1,1,"{'1s': -370.170639, '2p': -40.093339, '2s': -45.200869, '3d': -0.736204, '3p': -3.584666, '3s': -5.241645, '4p': -0.101634, '4s': -0.328019}",5.999302,20.51514,0.76,nan,0.3012011,False,124,117,121
32,Ge,4,14,0,0,2.01,2.11,1.25,1.25,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 2)]",p,1,2,"{'1s': -396.292991, '2p': -43.720129, '2s': -49.055282, '3d': -1.117316, '3p': -4.194822, '3s': -5.961472, '4p': -0.149882, '4s': -0.426523}",7.899435,15.93461,0.77,nan,1.232676413,False,124,117,121
33,As,4,15,0,0,2.18,1.85,1.14,1.15,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 3)]",p,1,3,"{'1s': -423.336658, '2p': -47.527869, '2s': -53.093086, '3d': -1.542767, '3p': -4.851725, '3s': -6.730755, '4p': -0.197497, '4s': -0.52367}",9.78855,18.5892,0.6599999999999999,nan,0.80482,False,121,114,106
34,Se,4,16,0,0,2.55,1.9,1.03,1.15,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 4)]",p,1,4,"{'1s': -451.300258, '2p': -51.514388, '2s': -57.311948, '3d': -2.011392, '3p': -5.553517, '3s': -7.547186, '4p': -0.245806, '4s': -0.621248}",9.752392,21.196,0.6000000000000001,1.84,2.020604712,False,116,107,107
35,Br,4,17,0,0,2.96,1.85,0.94,1.15,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 5)]",p,1,5,"{'1s': -480.182643, '2p': -55.67796, '2s': -61.710022, '3d': -2.52211, '3p': -6.298805, '3s': -8.409057, '4p': -0.295334, '4s': -0.720066}",11.81381,21.591,0.57,1.82,3.3635883,False,114,109,110
36,Kr,4,18,0,0,3.0,2.02,0.88,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6)]",p,nan,0,"{'1s': -509.982989, '2p': -60.017328, '2s': -66.285953, '3d': -3.074109, '3p': -7.086634, '3s': -9.315192, '4p': -0.34634, '4s': -0.820574}",13.9996055,24.35984,nan,nan,-1.02,False,117,121,108
37,Rb,5,1,0,0,0.82,3.03,2.65,2.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (5, 's', 1)]",s,0,1,"{'1s': -540.957115, '2p': -64.784678, '2s': -71.291202, '3d': -3.915508, '3p': -8.165416, '3s': -10.513861, '4p': -0.59217, '4s': -1.135051, '5s': -0.085375}",4.1771281,27.28954,1.66,nan,0.48591621,False,210,202,nan
38,Sr,5,2,0,0,0.95,2.49,2.19,2.0,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (5, 's', 2)]",s,0,2,"{'1s': -572.870169, '2p': -69.745941, '2s': -76.491823, '3d': -4.813498, '3p': -9.301863, '3s': -11.771585, '4p': -0.844489, '4s': -1.455317, '5s': -0.131793}",5.69486745,11.0302765,1.32,nan,0.052066,False,185,157,139
39,Y,5,3,0,0,1.22,2.32,2.12,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 1), (5, 's', 2)]",d,2,1,"{'1s': -605.631981, '2p': -74.803201, '2s': -81.789102, '3d': -5.671499, '3p': -10.399926, '3s': -12.992217, '4d': -0.108691, '4p': -1.02449, '4s': -1.697124, '5s': -0.150727}",6.21726,12.2236,1.04,nan,0.30712,True,163,130,124
40,Zr,5,4,0,0,1.33,2.23,2.06,1.55,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 2), (5, 's', 2)]",d,2,2,"{'1s': -639.292236, '2p': -80.010043, '2s': -87.237062, '3d': -6.544643, '3p': -11.514415, '3s': -14.230432, '4d': -0.150673, '4p': -1.186597, '4s': -1.918971, '5s': -0.162391}",6.634126,13.13,0.86,nan,0.433289,True,154,127,121
41,Nb,5,5,0,0,1.6,2.18,1.98,1.45,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 4), (5, 's', 1)]",d,nan,nan,"{'1s': -673.76253, '2p': -85.272175, '2s': -92.74086, '3d': -7.339839, '3p': -12.552855, '3s': -15.393727, '4d': -0.125252, '4p': -1.250049, '4s': -2.036693, '5s': -0.144272}",6.75885,14.32,0.82,nan,0.917407,True,147,125,116
42,Mo,5,6,0,0,2.16,2.17,1.9,1.45,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 5), (5, 's', 1)]",d,nan,nan,"{'1s': -709.232119, '2p': -90.791541, '2s': -98.503638, '3d': -8.257721, '3p': -13.71481, '3s': -16.681545, '4d': -0.153347, '4p': -1.39005, '4s': -2.234824, '5s': -0.14788}",7.09243,16.16,0.775,nan,0.74733,True,138,121,113
43,Tc,5,7,0,0,1.9,2.16,1.83,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 5), (5, 's', 2)]",d,2,5,"{'1s': -745.742024, '2p': -96.61021, '2s': -104.567508, '3d': -9.33986, '3p': -15.041738, '3s': -18.135303, '4d': -0.270262, '4p': -1.64323, '4s': -2.550712, '5s': -0.183636}",7.11938,15.26,0.7416666666666666,nan,0.552,True,128,120,110
44,Ru,5,8,0,0,2.2,2.13,1.78,1.3,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 7), (5, 's', 1)]",d,nan,nan,"{'1s': -782.918621, '2p': -102.333649, '2s': -110.536054, '3d': -10.195668, '3p': -16.145217, '3s': -19.366692, '4d': -0.210375, '4p': -1.667549, '4s': -2.628363, '5s': -0.152834}",7.3605,16.76,0.661,nan,1.0463825,True,125,114,103
45,Rh,5,9,0,0,2.28,2.1,1.73,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 8), (5, 's', 1)]",d,nan,nan,"{'1s': -821.136773, '2p': -108.357665, '2s': -116.80695, '3d': -11.21725, '3p': -17.415299, '3s': -20.765603, '4d': -0.239422, '4p': -1.806456, '4s': -2.825505, '5s': -0.154624}",7.4589,18.08,0.745,nan,1.142892,True,125,110,106
46,Pd,5,10,0,0,2.2,2.1,1.69,1.4,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10)]",d,2,10,"{'1s': -860.134909, '2p': -114.408286, '2s': -123.105078, '3d': -12.132197, '3p': -18.580798, '3s': -22.060898, '4d': -0.160771, '4p': -1.815215, '4s': -2.889173}",8.336839,19.43,0.84625,nan,0.5621412,True,120,117,112
47,Ag,5,11,0,0,1.93,2.11,1.65,1.6,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 1)]",d,0,1,"{'1s': -900.324578, '2p': -120.913351, '2s': -129.859807, '3d': -13.367803, '3p': -20.06763, '3s': -23.678437, '4d': -0.298706, '4p': -2.086602, '4s': -3.22309, '5s': -0.157407}",7.576234,21.4844,1.0866666666666667,nan,1.304473,True,128,139,137
