元素序号,元素符号,周期,族,是否镧系,是否锕系,电负性,范德华半径(Å),原子半径-计算值(Å),原子半径-传统方法测量值(Å),电子结构,电子层,价壳层电子轨道角动量L,价电子数,原子轨道能量(eV),第一电离能(eV),第二电离能(eV),平均阳离子半径(Å),平均阴离子半径(Å),电子亲和力,是否为过渡态金属,共价半径-单键(pm),共价半径-双键(pm),共价半径-三键(pm)
76,Os,6,8,0,0,2.2,2.16,1.85,1.3,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 6), (6, 's', 2)]",d,2,6,"{'1s': -2475.238617, '2p': -393.15408, '2s': -409.522396, '3d': -72.497183, '3p': -86.837047, '3s': -94.501324, '4d': -10.176082, '4f': -2.321175, '4p': -16.119671, '4s': -19.362527, '5d': -0.296791, '5p': -1.757404, '5s': -2.738293, '6s': -0.191489}",8.43823,17.0,0.673,nan,1.0778013,True,129,116,109
77,Ir,6,9,0,0,2.2,2.13,1.8,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 7), (6, 's', 2)]",d,2,7,"{'1s': -2543.761342, '2p': -405.526834, '2s': -422.159424, '3d': -75.485027, '3p': -90.108427, '3s': -97.923081, '4d': -10.856593, '4f': -2.738339, '4p': -16.966578, '4s': -20.29429, '5d': -0.335189, '5p': -1.883349, '5s': -2.909174, '6s': -0.195511}",8.96702,17.0,0.765,nan,1.5643615,True,122,115,107
78,Pt,6,10,0,0,2.28,2.13,1.77,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 9), (6, 's', 1)]",d,nan,nan,"{'1s': -2613.096532, '2p': -417.96053, '2s': -434.858003, '3d': -78.400271, '3p': -93.309108, '3s': -101.274869, '4d': -11.419476, '4f': -3.038049, '4p': -17.697297, '4s': -21.110651, '5d': -0.273634, '5p': -1.884256, '5s': -2.950526, '6s': -0.161308}",8.95883,18.56,0.805,nan,2.125105,True,123,112,110
79,Au,6,11,0,0,2.54,2.14,1.74,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 1)]",d,0,1,"{'1s': -2683.508245, '2p': -430.725701, '2s': -447.888973, '3d': -81.511751, '3p': -96.707, '3s': -104.824516, '4d': -12.131815, '4f': -3.486824, '4p': -18.578652, '4s': -22.078357, '5d': -0.304738, '5p': -2.002495, '5s': -3.113936, '6s': -0.162334}",9.225554,20.203,1.07,nan,2.30861025,True,124,121,123
80,Hg,6,12,0,0,2.0,2.23,1.71,1.5,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2)]",d,0,2,"{'1s': -2755.022637, '2p': -443.848676, '2s': -461.27864, '3d': -84.845492, '3p': -100.328031, '3s': -108.597921, '4d': -13.019221, '4f': -4.110291, '4p': -19.636187, '4s': -23.222921, '5d': -0.452552, '5p': -2.261975, '5s': -3.423486, '6s': -0.205137}",10.437504,18.75688,1.245,nan,-0.52,True,133,142,nan
81,Tl,6,13,0,0,1.62,1.96,1.56,1.9,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 1)]",p,1,1,"{'1s': -2827.569408, '2p': -457.255971, '2s': -474.953368, '3d': -88.328299, '3p': -104.099296, '3s': -112.52218, '4d': -14.008848, '4f': -4.835747, '4p': -20.797078, '4s': -24.471512, '5d': -0.674544, '5p': -2.59873, '5s': -3.811512, '6p': -0.101507, '6s': -0.28502}",6.1082873,20.4283,1.3325,nan,0.32005319,False,144,142,150
82,Pb,6,14,0,0,2.33,2.02,1.54,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 2)]",p,1,2,"{'1s': -2901.078061, '2p': -470.877785, '2s': -488.843335, '3d': -91.889924, '3p': -107.950391, '3s': -116.526852, '4d': -15.030026, '4f': -5.592532, '4p': -21.990564, '4s': -25.75333, '5d': -0.902393, '5p': -2.941657, '5s': -4.206797, '6p': -0.141831, '6s': -0.357187}",7.4166799,15.032499,1.1225,nan,0.3567212,False,144,135,137
83,Bi,6,15,0,0,2.02,2.07,1.43,1.6,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 3)]",p,1,3,"{'1s': -2975.550959, '2p': -484.716359, '2s': -502.950758, '3d': -95.532476, '3p': -111.883393, '3s': -120.613998, '4d': -16.084817, '4f': -6.382744, '4p': -23.218641, '4s': -27.07034, '5d': -1.139408, '5p': -3.293637, '5s': -4.611934, '6p': -0.180198, '6s': -0.426129}",7.285516,16.703,1.035,nan,0.94236213,False,151,141,135
84,Po,6,16,0,0,2.0,1.97,1.35,1.9,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 4)]",p,1,4,"{'1s': -3050.988417, '2p': -498.77192, '2s': -517.275843, '3d': -99.256068, '3p': -115.898384, '3s': -124.783683, '4d': -17.173307, '4f': -7.206499, '4p': -24.481337, '4s': -28.42254, '5d': -1.386458, '5p': -3.655382, '5s': -5.027447, '6p': -0.217889, '6s': -0.493528}",8.41807,19.3,0.9450000000000001,nan,1.407,False,145,135,129
85,At,6,17,0,0,2.2,2.02,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 5)]",p,1,5,"{'1s': -3127.390276, '2p': -513.044243, '2s': -531.81835, '3d': -103.060375, '3p': -119.995013, '3s': -129.035542, '4d': -18.295162, '4f': -8.063483, '4p': -25.778264, '4s': -29.809515, '5d': -1.643758, '5p': -4.027061, '5s': -5.453383, '6p': -0.255453, '6s': -0.560189}",9.31751,17.88,0.76,nan,2.415787,False,147,138,138
86,Rn,6,18,0,0,2.2,2.2,1.2,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6)]",p,nan,0,"{'1s': -3204.756288, '2p': -527.533025, '2s': -546.57796, '3d': -106.945006, '3p': -124.172862, '3s': -133.369144, '4d': -19.449994, '4f': -8.953318, '4p': -27.108985, '4s': -31.230804, '5d': -1.911329, '5p': -4.408702, '5s': -5.889683, '6p': -0.29318, '6s': -0.62657}",10.7485,21.4,nan,nan,-0.72,False,142,145,133
87,Fr,7,1,0,0,0.7,3.48,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (7, 's', 1)]",s,0,1,"{'1s': -3283.263399, '2p': -542.41424, '2s': -561.73045, '3d': -111.085223, '3p': -128.607136, '3s': -137.959632, '4d': -20.812462, '4f': -10.050648, '4p': -28.648131, '4s': -32.861013, '5d': -2.360991, '5p': -4.97328, '5s': -6.509516, '6p': -0.466197, '6s': -0.841848, '7s': -0.076176}",4.0727411,22.4,1.94,nan,0.486,False,223,218,nan
88,Ra,7,2,0,0,0.9,2.83,nan,2.15,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (7, 's', 2)]",s,0,2,"{'1s': -3362.736563, '2p': -557.513214, '2s': -577.101208, '3d': -115.306476, '3p': -133.12325, '3s': -142.632426, '4d': -22.208125, '4f': -11.181066, '4p': -30.221208, '4s': -34.525628, '5d': -2.819853, '5p': -5.547203, '5s': -7.139137, '6p': -0.634674, '6s': -1.05135, '7s': -0.113732}",5.2784239,10.14718,1.62,nan,0.1,False,201,173,159
89,Ac,7,3,0,1,1.1,2.47,nan,1.95,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (6, 'd', 1), (7, 's', 2)]",f,2,1,"{'1s': -3443.110367, '2p': -572.7627, '2s': -592.622878, '3d': -119.541743, '3p': -137.654394, '3s': -147.320716, '4d': -23.57061, '4f': -12.278225, '4p': -31.761846, '4s': -36.15826, '5d': -3.222752, '5p': -6.06511, '5s': -7.713078, '6d': -0.137786, '6p': -0.744524, '6s': -1.19698, '7s': -0.126551}",5.380226,11.75,1.26,nan,0.35,True,186,153,140
90,Th,7,3,0,1,1.3,2.45,nan,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (6, 'd', 2), (7, 's', 2)]",f,2,2,"{'1s': -3524.439052, '2p': -588.218112, '2s': -608.350958, '3d': -123.846396, '3p': -142.25581, '3s': -152.079741, '4d': -24.955184, '4f': -13.397389, '4p': -33.325252, '4s': -37.814094, '5d': -3.625729, '5p': -6.58281, '5s': -8.287057, '6d': -0.172896, '6p': -0.846921, '6s': -1.333769, '7s': -0.135872}",6.3067,12.1,1.08,nan,1.17,False,175,143,136
91,Pa,7,3,0,1,1.5,2.1,nan,1.8,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 2), (6, 'd', 1), (7, 's', 2)]",f,nan,nan,"{'1s': -3606.333629, '2p': -603.470278, '2s': -623.870431, '3d': -127.781168, '3p': -146.485678, '3s': -156.466742, '4d': -25.933121, '4f': -14.105747, '4p': -34.48293, '4s': -39.064507, '5d': -3.659928, '5f': -0.316813, '5p': -6.709821, '5s': -8.463463, '6d': -0.142481, '6p': -0.799756, '6s': -1.287232, '7s': -0.129653}",5.89,11.9,1.04,nan,0.55,False,169,138,129
92,U,7,3,0,1,1.38,2.41,nan,1.75,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 3), (6, 'd', 1), (7, 's', 2)]",f,nan,nan,"{'1s': -3689.355141, '2p': -619.10855, '2s': -639.778728, '3d': -131.977358, '3p': -150.97898, '3s': -161.118073, '4d': -27.123212, '4f': -15.02746, '4p': -35.853321, '4s': -40.528084, '5d': -3.866175, '5f': -0.366543, '5p': -7.018092, '5s': -8.824089, '6d': -0.14319, '6p': -0.822538, '6s': -1.325976, '7s': -0.130948}",6.19405,11.6,0.9912500000000001,nan,0.53,False,170,134,118
93,Np,7,3,0,1,1.36,2.39,nan,1.75,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 4), (6, 'd', 1), (7, 's', 2)]",f,nan,nan,-,6.26554,11.5,0.9999999999999999,nan,0.48,False,171,136,116
94,Pu,7,3,0,1,1.28,2.43,nan,1.75,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 6), (7, 's', 2)]",f,3,6,-,6.02576,11.5,0.9674999999999999,nan,-0.5,False,172,135,nan
95,Am,7,3,0,1,1.3,2.44,nan,1.75,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 7), (7, 's', 2)]",f,3,7,-,5.97381,11.7,1.1683333333333332,nan,0.1,False,166,135,nan
96,Cm,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 7), (6, 'd', 1), (7, 's', 2)]",f,nan,nan,-,5.99141,12.4,1.05,nan,0.28,False,166,136,nan
97,Bk,7,3,0,1,1.3,2.44,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 9), (7, 's', 2)]",f,3,9,-,6.19785,11.9,1.0350000000000001,nan,-1.72,False,166,139,nan
98,Cf,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 10), (7, 's', 2)]",f,3,10,-,6.28166,12.0,1.0255,nan,-1.01,False,168,140,nan
99,Es,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 11), (7, 's', 2)]",f,3,11,-,6.36758,12.2,nan,nan,-0.3,False,165,140,nan
100,Fm,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 12), (7, 's', 2)]",f,3,12,-,6.5,12.4,nan,nan,0.35,False,167,nan,nan
101,Md,7,3,0,1,1.3,2.46,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 13), (7, 's', 2)]",f,3,13,-,6.58,12.4,nan,nan,0.98,False,173,139,nan
102,No,7,3,0,1,1.3,2.46,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 14), (7, 's', 2)]",f,0,2,-,6.62621,12.93,nan,nan,-2.33,False,176,159,nan
103,Lr,7,3,0,1,1.3,nan,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 14), (7, 's', 2), (7, 'p', 1)]",d,1,1,-,4.96,14.54,nan,nan,-0.31,False,161,141,nan
104,Rf,7,4,0,0,nan,nan,nan,nan,-,d,nan,nan,-,6.02,14.35,nan,nan,nan,True,157,140,131
105,Db,7,5,0,0,nan,nan,nan,nan,-,d,nan,nan,-,6.8,14.0,nan,nan,nan,True,149,136,126
106,Sg,7,6,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.8,17.1,nan,nan,nan,True,143,128,121
107,Bh,7,7,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.7,17.5,nan,nan,nan,True,141,128,119
108,Hs,7,8,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.6,18.2,nan,nan,nan,True,134,125,118
109,Mt,7,9,0,0,nan,nan,nan,nan,-,d,nan,nan,-,50.0,nan,nan,nan,nan,True,129,125,113
110,Ds,7,10,0,0,nan,nan,nan,nan,-,d,nan,nan,-,65.0,nan,nan,nan,nan,True,128,116,112
111,Rg,7,11,0,0,nan,nan,nan,nan,-,d,nan,nan,-,nan,nan,nan,nan,1.565,True,121,116,118
112,Cn,7,12,0,0,nan,nan,nan,nan,-,d,nan,nan,-,nan,nan,nan,nan,nan,True,122,137,130
113,Nh,7,13,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.69,False,136,nan,nan
114,Fl,7,14,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,nan,False,143,nan,nan
115,Mc,7,15,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.366,False,162,nan,nan
116,Lv,7,16,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.776,False,175,nan,nan
117,Ts,7,17,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,1.719,False,165,nan,nan
118,Og,7,18,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.0561,False,157,nan,nan
