Compound,nrelmatdb_id,icsd_id,space group,spg #,comments,,,
Ca1O1,9596,,Fm-3m,225,,,,
O1Sr1,10079,163625,Fm-3m,225,,,,
Ba1O1,9594,52278,Fm-3m,225,,,,
Mn3O4,11304,,Fddd,70,,,,
Mn5O8,178128,16956,C2/m,12,,,,
Mn1O1,10576,,Cmc2_1,36,,,,
Mn1O1,10438,,I-4m2,119,,,,
Mn1O2,11671,,P4_2/mnm,136,,,,
Mn1O2,125667,24034,Pnma,62,,,,
Mn1O2,125741,20227,I4/m,87,,,,
Fe2O3,9808,,R-3c,167,,,,
Fe3O4,191339,,Imma,74,,,,
Fe3O4,191847,,Imma,74,,,,
Fe1O1,9684,,C2/c,15,,,,
Co3O4,9648,,Fd-3m,227,,,,
Co1O1,10389,,P6_3mc,186,,,,
Co1O1,10528,,F-43m,216,,,,
Co1O2,187243,95440,C2/m,12,,,,
La2O3,111542,184531,Ia-3,206,,,,
La2O3,289934,,P-3m1,164,,,,
Ce2O3,289862,,P-3m1,164,,,,
Ce1O2,289838,,Fm-3m,225,,,,
Ca1Fe1O2,170770,246244,P-42_1m,113,,,,
Ca2Co1O3,117717,95439,Immm,71,,,,
Ca3Co2O6,118499,82174,C2/c,15,,,,
Ca1Co2O4,155087,245715,Pnma,62,,,,
Ca1Ce1O3,289729,,Pnma,62,,,,
Mn1O3Sr1,126839,157936,C222_1,20,,,,
Mn1O4Sr2,194281,26560,I4/mmm,139,,,,
Mn2O5Sr2,145133,417811,Pbam,55,,,,
Mn2O7Sr3,193429,51215,I4/mmm,139,,,,
Mn3O10Sr4,146652,81351,Cmce,64,,,,
Mn3O10Sr4,146578,40301,Cmce,64,,,,
Mn4O13Sr7,179730,160291,P2_1/c,14,,,,
Mn4O15Sr7,147283,72332,P2_1/c,14,,,,
Fe12O19Sr1,142004,69023,Cm,8,,,,
Fe2O5Sr2,143474,51330,Cc,9,,,,
Fe2O5Sr3,124785,420234,Immm,71,,,,
Fe2O6Sr3,124041,249015,I4/mmm,139,,,,
Fe2O7Sr3,159759,74422,I4/mmm,139,,,,
Fe4O11Sr4,161406,249007,Cmmm,65,,,,
Fe6O13Sr4,162339,63621,Iba2,45,,,,
Fe1O2Sr1,160074,418605,P4/mmm,123,,,,
Fe1O3Sr1,159544,163228,Pm-3m,221,,,,
Fe1O4Sr2,142463,74420,I4/mmm,139,,,,
Co2O6Sr3,136665,182288,C2,5,,,,
Co5O15Sr6,171017,181958,P1,1,,,,
Co1O3Sr1,136293,,P-1,2,,,,
Ce1O3Sr1,290130,,Pnma,62,,,,
Ce1O4Sr2,290198,,Pbam,55,,,,
Ba1Mn1O3,289618,,P6_3/mmc,194,,,,
Ba2Mn1O3,185165,15508,C2/c,15,,,,
Ba3Mn2O8,184694,280045,R-3m,166,,,,
Ba4Mn3O10,185492,51882,Cmce,64,,,,
Ba6Mn5O16,135701,97017,Cmce,64,,,,
Ba1Mn2O3,134600,10038,Immm,71,,,,
Ba1Mn2O8,185408,23443,Fddd,70,,,,
Ba1Mn3O6,117270,,P1,1,,,,
Ba1Mn1O2,12370,,P3_121,152,,,,
Ba2Fe2O5,185027,66486,P1,1,,,,
Ba2Fe6O11,116531,10103,P2_1,4,,,,
Ba2Fe1O4,169441,281028,P2_1/c,14,,,,
Ba3Fe1O5,185205,281029,Pnma,62,,,,
Ba1Fe12O19,167571,60986,Cm,8,,,,
Ba1Fe18O27,153176,29062,Cc,9,,,,
Ba1Fe2O4,115470,171001,Cmc2_1,36,,,,
Ba1Fe1O3,115344,50869,C2,5,,,,
Ba2Co1O4,169661,92321,P2_1/c,14,,,,
Ba5Co5O14,185107,153697,C2/m ,12,,,,
Ba1Co1O2,182355,25813,P3_121,152,,,,
Ba1Ce1O3,289614,,Pnma,62,,,,
Fe2Mn1O4,12201,,Fd-3m,227,,,,
Co2Mn3O8,170164,1979,Pmn2_1,31,,,,
Co1Mn1O3,136261,31854,R-3,148,,,,
La1Mn1O3,126619,161928,Pnma,62,,,,
La1Mn1O3,289876,,C2/c,15,,,,
La1Mn2O5,163417,84350,Pbam,55,,,,
La1Mn7O12,193122,C2/m,C2/m,12,,,,
Co1Fe2O4,12299,P45,Fd-3m,227,,,,
Fe1La3O6,174252,421426,Cmc2_1,36,,,,
Fe1La1O3,174238,184304,Pnma,62,,,,
Co2La2O5,156399,51198,Pnma,62,,,,
Co3La3O8,136334,86176,P1,1,,,,
Co3La4O9,120257,,Pnma,62,,,,
Co1La1O3,169397,99370,C2/c,15,,,,
Ce2La2O7,289949,,Fd-3m,227,,,,
Ba1La2O4,icsd427481,427481,Pnma,62,,,,
Co1La2O4,icsd16404,16404,Cmce,64,,,,
Ba1Ce2O4,icsd427482,427482,Pnma,62,batch-1 ends,,,
Al2Co1O4,9491,,Fd-3m,227,batch-2 starts,,,
Al2Mg1O4,9494,,Fd-3m,227,,,,
Al2Ni1O4,9499,,Imma,74,,,,
Al2O3,9540,,R-3c,167,,,,
Al2Mn1O4,9572,,Fd-3m,227,,,,
Al2O3,9576,,R-3c,167,,,,
Fe2Mg1O4,9694,,Fd-3m,227,,,,
In2Mn1O4,9859,,Fd-3m,227,,,,
In2O3,9889,,Ia-3,206,,,,
Co1In2O4,9921,,Fd-3m,227,,,,
In2Mg1O4,9931,,Fd-3m,227,,,,
In2Ni1O4,9944,,Imma,74,,,,
Mg1O1,9973,,Fm-3m,225,,,,
Ni1O1,10021,,Fm-3m,225,,,,
Ba1O3Ti1,10375,,P4mm,99,,,,
O3Sr1Ti1,10541,,Pm-3m,221,,,,
O2Ti1,10549,,I4_1/amd,141,,,,
O2Ti1,10720,,P4_2/mnm,136,,,,
O2Ti1,10731,,P3_121,152,,,,
Mg1Mn2O4,11233,,I4_1/amd,141,,,,
Fe2Ni1O4,11562,,Imma,74,,,,
Fe2Ni1O4,11580,,I4_1md,109,,,,
Mn2Ni1O4,11752,,Imma,74,,,,
O2Ti1,11764,,Pbca,61,,,,
Mn2Ni1O4,11908,,Fdd2,43,,,,
Fe2Mg1O4,11911,,Imma,74,,,,
Mn1Ni1O3,12011,,R-3,148,,,,
Mn1Ni1O3,12072,,R-3,148,,,,
Al2Ca1O4,107269,,P2_1/c,14,,,,
Al4Ca1O7,107702,,C2/c,15,,,,
Al2Ca2O5,107847,,Ima2,46,,,,
Al6Ca5O14,107855,,Cmc2_1,36,,,,
Al2Ba1O4,108143,,P6_3,173,,,,
Ba3O9Y4,108190,,R32,155,,,,
Al2O5Ti1,108321,,Cmcm,63,,,,
Al4O7Sr1,108427,,C2/c,15,,,,
Al5O12Y3,108446,,Ia-3d,230,,,,
Al1O3Y1,108689,,P6_3/mmc,194,,,,
Ba1O9Ti4,108699,,Pmmn,59,,,,
Ba1O4Y2,108927,,Pnma,62,,,,
Al2O4Sr1,108933,,P2_1,4,,,,
Al2O9Y4,109092,,P2_1/c,14,,,,
Ba1O5Ti2,109333,,Pnma,62,,,,
Ba4O30Ti13,109458,,Cmce,64,,,,
In1O3Y1,109668,,P6_3cm,185,,,,
Ba3In2O6,109684,,I4/mmm,139,,,,
Ca3O7Ti2,109710,,Cmc2_1,36,,,,
Ca1In2O4,109770,,Fd-3m,227,,,,
In2O5Ti1,110156,,Pnma,62,,,,
In2O5Sr2,110270,,Ima2,46,,,,
Ba2In2O5,110289,,Ima2,46,,,,
In1La1O3,110733,,Pnma,62,,,,
La2O5Ti1,110854,,Pnma,62,,,,
La4O12Ti3,111085,,R-3,148,,,,
In2O4Sr1,111316,,Pnma,62,,,,
O7Sr3Ti2,111479,,I4/mmm,139,,,,
La1O3Y1,111508,,Pnma,62,,,,
La2O7Ti2,111567,,P2_1,4,,,,
O4Sr1Y2,111982,,Pnma,62,,,,
O7Ti2Y2,112035,,Fd-3m,227,,,,
O5Ti1Y2,112334,,Pnma,62,,,,
Al1Fe1O3,113386,,Pna2_1,33,,,,
Co1Nb2O6,119208,,Pbcn,60,,,,
Mg4Nb2O9,126437,,P-3c1,165,,,,
Ba1Nb2O6,133995,,Pbam,55,,,,
Co1O3Ti1,136734,,R-3,148,,,,
Fe1O3Ti1,141559,,P-1,2,,,,
Fe2O5Ti1,143825,,C2/c,15,,,,
La3Nb1O7,143911,,Pnma,62,,,,
Mg1Nb2O6,144307,,Pbcn,60,,,,
Mn2O5Y1,144940,,Pbam,55,,,,
Mn2O4Ti1,145761,,P4_322,95,,,,
Mn4Nb2O9,147238,,P-3c1,165,,,,
Ni1O3Ti1,149539,,R-3,148,,,,
Nb2Ni4O9,149894,,Pbcn,60,,,,
Al1Nb1O4,151582,,C2/m,12,,,,
Ba3Ni1O4,154647,,R-3c,167,,,,
Co1O3Y1,155205,,Pnma,62,,,,
Fe1O5Ti2,159784,,Cmcm,63,,,,
Fe5O12Y3,162642,,Ia-3d,230,,,,
Co4Nb2O9,170357,,P-3c1,165,,,,
Fe1Nb2O6,176178,,Pbcn,60,,,,
In1Nb1O4,176585,,P2/c,13,,,,
Mn1O3Y1,177189,,Pnma,62,,,,
Mn2O7Y2,179580,,Fd-3m,227,,,,
Nb2O9Sr4,182299,,P6_3/m,176,,,,
Fe1Nb1O4,188731,,C2/m,12,,,,
Fe1O3Y1,188787,,Pnma,62,,,,
La2Ni1O4,193359,,Cmce,64,,,,
Nb2Ni1O6,194560,,Pbcn,60,,,,
Mn1Nb2O6,194582,,Pbcn,60,,,,
Mn1O3Ti1,194723,,R-3,148,,,,
Nb6O16Sr1,195961,,Amm2,38,,,,
Al2Fe1O4,289591,,I4_1/amd,141,,,,
Ba2O4Ti1,289663,,P2_1/c,14,,,,
Ba5Nb4O15,289691,,P-3m1,164,,,,
Ca1O3Ti1,289774,,Pnma,62,,,,
Ca2Nb2O7,289796,,P2_1,4,,,,
Al1Ce1O3,289832,,I4/mcm,140,,,,
Al1La1O3,289874,,R-3c,167,,,,
La1Nb1O4,289885,,C2/c,15,,,,
Ce1Mg1O3,289952,,Pnma,62,,,,
Mg1O3Ti1,290005,,R-3,148,,,,
Mg2O4Ti1,290062,,Imma,74,,,,
Mg1O5Ti2,290080,,Cmcm,63,,,,
Nb2O5,290102,,C2/c,15,,,,
Nb2O5,290125,,C2/m,12,,,,
O4Sr2Ti1,290206,,I4/mmm,139,,,,
Nb2O7Sr2,290243,,P2_1,4,,,,
O3Y2,290296,,Ia-3,206,,,,
